id,canonical_name,synonyms
trp2_mrna-electroporated_autologous_langerhans-type_de--etcxuc3f,TRP2 mRNA-electroporated autologous langerhans-type dendritic cell vaccine,"['autologous Langerhans-type mRNA-electroporated dendritic cell vaccine', 'TRP2 mRNA-electroporated autologous langerhans-type dendritic cell vaccine']"
cab-ror2,CAB-ROR2,"['BA3021', 'CAB-ROR2-ADC', 'CAB-ROR2']"
gentuximab,Gentuximab,['Gentuximab']
prednisone,Prednisone,"['Cortalone', 'Prelone', 'PRD', 'PRED', 'Hydeltra', 'Hydeltrasol', 'Meti-derm', 'Prednisonum', 'Delta-Cortef', 'Prednisone']"
rf-ny-eso-1_vaccine,rF-NY-ESO-1 vaccine,"['fowlpox-NY-ESO-1 vaccine', 'rF-NY-ESO-1 vaccine']"
recombinant_interleukin-7,Recombinant interleukin-7,"['Glycosylated recombinant human interleukin-7', 'rhIL-7', 'recombinant il-7', 'Second-generation CYT 99 007', 'CYT 107', 'CYT107', 'Recombinant human interleukin-7', 'Recombinant interleukin-7']"
elacytarabine,Elacytarabine,"['CP-4055', 'CP 4055', 'Elacytarabine']"
jnj-74699157,JNJ-74699157,['JNJ-74699157']
bermekimab,Bermekimab,"['MABp1', 'Xilonix', 'Bermekimab']"
fosphenytoin,Fosphenytoin,"['NPC-06', 'Cerebyx', 'Fosphenytoin']"
eflornithine,Eflornithine,"['alpha-difluoromethylornithine hydrochloride', '2-difluoromethylornithine hydrochloride', 'MDL 71782', 'eflornithine HCl', 'Vaniqa', 'RMI-71782', 'Eflornithine']"
car-t-colon-_anti-cd19-comma-_iv_generation_-lpar-cd3z--etcpkfqh,"CAR-T: Anti-CD19, IV generation (CD3zeta_cd27_inducible caspase 9)","['CAR-T: Anti-CD19, IV generation (CD3zeta_cd27_inducible caspase 9)']"
sl-172154,SL-172154,['SL-172154']
hs-130,HS-130,"['HS130', 'HS-130']"
ppv,PPV,"['Personalized peptide vaccination (PPV) for HLA-A24+ recurrent glioblastoma', 'PPV']"
bb-mpi-03,BB-MPI-03,"['Multi-peptide Immunotherapy', 'BB-MPI-03']"
dronabinol,Dronabinol,"['tetrahydrocannabinol', 'Syndros', 'SP-104', 'Marinol', 'Abbott 40566', 'delta 9-tetrahydrocannabinol', 'Dronabinol']"
sait301,SAIT301,['SAIT301']
gls-010,GLS-010,['GLS-010']
diaziquone,Diaziquone,"['Aziridinylbenzoquinone', 'Diaziquone']"
kappa_light_chain_specific_car-t,Kappa light chain specific CAR-T,"['κ.CAR', 'Kappa light chain specific CAR-T']"
gs-1423,GS-1423,"['AGEN 1423', 'GS1423', 'AGEN1423', 'AGEN-1423', 'GS 1423', 'GS-1423']"
pcar-119,PCAR-119,['PCAR-119']
ridaforolimus,Ridaforolimus,"['AP23573', 'Deforolimus', 'MK8669', 'Ridaforolimus']"
lurtotecan,Lurtotecan,"['OSI-211', 'GI-147211', 'GG211', 'GG 211', 'GI147211', 'OSI211', 'GI147211C', 'Lurtotecan']"
belotecan,Belotecan,"['Camtobell', 'Belotecan hydrochloride', 'CKD-602', 'CKD602', 'CKD 602', 'Belotecan']"
gsk-1904529a,GSK-1904529A,['GSK-1904529A']
azd4205,AZD4205,"['AZD 4205', 'AZD-4205', 'AZD4205']"
autologous_lymphoma_cell-slash-allogeneic_dendritic_ce--etcjwtjr,autologous lymphoma cell/allogeneic dendritic cell electrofusion hybrid vaccine,['autologous lymphoma cell/allogeneic dendritic cell electrofusion hybrid vaccine']
flx475,FLX475,"['FLX-475', 'FLX 475', 'FLX475']"
sndx-5613,SNDX-5613,['SNDX-5613']
cxd101,CXD101,"['AZD 9468', 'AZD9468', 'CXD101']"
pt2977,PT2977,"['PT 2977', 'MK-6482', 'MK6482', 'PT-2977', 'MK 6482', 'PT2977']"
daratumumab-slash-rhuph20,Daratumumab/rHuPH20,"['DARZALEX FASPRO', 'recombinant human hyaluronidase mixed with daratumumab', 'DARA co-formulated with rHuPH20', 'DARA/rHuPH20', 'DARA-MD', 'Daratumumab/rHuPH20']"
177lu-dotatoc,177Lu-DOTATOC,"['Solucin', '177Lu-Edotreotide', '177Lu-DOTA-Tyr3-octreotide', '177Lu-DOTATOC']"
immuncell-lc,Immuncell-LC,['Immuncell-LC']
canvaxin,Canvaxin,"['Melanoma vaccine - John Wayne Cancer Institute', 'CancerVax', 'PMCV', 'C-VAX', 'polyvalent melanoma vaccine', 'POLYMELVAC', 'Melanoma vaccine - CancerVax', 'Onamelatucel-L', 'Canvaxin']"
cc-95775,FT-1101,"['FT 1101', 'FT1101', 'CC-95775', 'FT-1101']"
mage-3a-dot-2_-slash-_tyrosinase_-slash-_gp100_209-2_m--etcx6mpb,MAGE-3A.2 / tyrosinase / gp100 209-2 M / gp100 280-9 V / MART-1 26–35 peptide vaccine,['MAGE-3A.2 / tyrosinase / gp100 209-2 M / gp100 280-9 V / MART-1 26–35 peptide vaccine']
gedatolisib,Gedatolisib,"['PKI-587', 'dual PI3 kinase/mTOR inhibitor PKI-587', 'PF-05212384', 'Gedatolisib']"
porfimer_sodium,Porfimer sodium,"['DHE', 'dihematoporphyrin ether', 'photofrin II', 'dihematoporphyrin ester', 'CL-184116', 'Porfimer sodium']"
nivolumab,Nivolumab,"['Opdivo', 'ONO-4538', 'BMS-936558', 'Opdivo Injection', 'Nivolumab']"
dc-cik_cells_therapy,DC-CIK cells therapy,"['therapeutic dendritic cells/cytokine-induced killer cells', 'DC-CIKs', 'DC-CIK cells', 'DC-CIK cells therapy']"
olanzapine,Olanzapine,['Olanzapine']
hm43239,HM43239,"['HM-43239', 'HM 43239', 'HM43239']"
adu-1604,ADU-1604,['ADU-1604']
tmx-101,TMX-101,"['Vesimune', 'TMX-101']"
carrimycin,Carrimycin,['Carrimycin']
mrtx849,MRTX849,['MRTX849']
anamorelin_hydrochloride,Anamorelin hydrochloride,"['RC-1291', 'Anamorelin hydrochloride']"
bms-986205,BMS-986205,"['BMS 986205', 'ONO-7701', 'BMS986205', 'BMS-986205']"
emactuzumab,Emactuzumab,"['RG7155', 'RO5509554', 'Emactuzumab']"
pr1_leukemia_peptide_vaccine,PR1 leukemia peptide vaccine,"['Proteinase 3 PR1 peptide vaccine', 'Pr3 169–177', 'PR1 vaccine', 'Proteinase3 169–177', 'PR1 vac', 'PR1 leukemia peptide vaccine']"
encorafenib,Encorafenib,"['LGX818', 'Braftovi', 'Encorafenib']"
uprosertib,Uprosertib,"['GSK2141795', 'Uprosertib']"
atrasentan,Atrasentan,"['Xinlay', '(+)-A 127722', 'ABT-627', 'atrasentan hydrochloride', 'Atrasentan']"
gp100-slash-tyrosinase-slash-mage-a1-slash-mage-a2-sla--etcbldpn,gp100/tyrosinase/MAGE-A1/MAGE-A2/MAGE-A3 peptide cocktail-pulsed DC-based vaccine,['gp100/tyrosinase/MAGE-A1/MAGE-A2/MAGE-A3 peptide cocktail-pulsed DC-based vaccine']
regn5678,REGN5678,"['REGN-5678', 'REGN 5678', 'REGN5678']"
asparaginase_escherichia_coli,Asparaginase Escherichia coli,"['Elspar', 'Asparaginase Escherichia coli']"
car-t-colon-_anti-igk-comma-_ii_generation_-lpar-cd3ze--etcmplaq,"CAR-T: Anti-Igk, II generation (CD3zeta_CD28)","['CAR-T: Anti-Igk, II generation (CD3zeta_CD28)']"
prs-343,PRS-343,['PRS-343']
tak_573,TAK 573,"['TEV-48573', 'TAK-573', 'TAK 573']"
l19-tnf,L19-TNF,"['L19TNFalpha', 'L19TNF', 'onfekafusp alfa', 'Fibromun', 'L19-TNF']"
catumaxomab,Catumaxomab,"['Removab', 'Catumaxomab']"
zoledronic_acid,Zoledronic Acid,"['Zometa', 'Zoledronate', 'Zoledronic Acid']"
_mage1-slash-_aim-2-slash-_trp-2-slash-_gp100-slash-_h--etccomsl,MAGE1/ AIM-2/ TRP-2/ gp100/ HER2/ IL13Ra2 multi-epitope-pulsed dendritic cell vaccine,['MAGE1/ AIM-2/ TRP-2/ gp100/ HER2/ IL13Ra2 multi-epitope-pulsed dendritic cell vaccine']
bp102,BP102,['BP102']
anti-bcma-slash-anti-taci_car-t_cells,Anti-BCMA/Anti-TACI CAR-T cells,"['APRIL CAR T Cells', 'AUTO2', 'APRIL', 'Anti-BCMA/Anti-TACI CAR-T cells']"
amuvatinib,Amuvatinib,"['RTK inhibitor Amuvatinib', 'Multitargeted receptor tyrosine kinase inhibitor MP470', 'D09864', 'MP-470', 'Amuvatinib hydrochloride', 'MP470', 'HPK56', 'C521047', 'HPK-56', 'Amuvatinib']"
2-0-comma-_3-0_desulfated_heparin,"2-0, 3-0 desulfated heparin","['CX-01', 'ODSH', '2-0, 3-0 desulfated heparin']"
rnf43-comma-_tomm34-comma-_koc1-comma-_vegfr1-comma-_a--etc189kl,"RNF43, TOMM34, KOC1, VEGFR1, and VEGFR2 peptide vaccine","['RNF43, TOMM34, KOC1, VEGFR1, and VEGFR2 peptide vaccine']"
relugolix,Relugolix,"['GnRH antagonist TAK-385', 'TAK-385', 'Relugolix']"
aclarubicin,Aclarubicin,"['Aclacinomycin A hydrochloride', 'Aclacinomycin', 'Aclarubicin Hydrochloride', 'Aclacinomycin A', 'Antibiotic MA144-A1', 'Aclarubicin']"
nzv930,NZV930,"['NZV 930', 'NZV-930', 'SRF 373', 'SRF-373', 'SRF373', 'NZV930']"
ciclosporin,Cyclosporin,"['CSA', 'Gengraf', 'OL 27-400', 'Ikervis', 'Restasis', 'D016572', 'Cyclosporine A', 'Neoral', 'Sandimmune', 'Cyclosporine', 'D00184', 'Cyclosporin']"
aim2-lpar--1-rpar--slash-ht001-lpar--1-rpar--slash-taf--etcavznz,AIM2(-1)/HT001(-1)/TAF1B(-1) frameshift peptide vaccine,"['FSP peptides', 'AIM2(-1)/HT001(-1)/TAF1B(-1) frameshift peptide vaccine']"
medi9197,MEDI9197,['MEDI9197']
incb7839,INCB7839,"['Aderbasib', 'INCB7839']"
cc-97540,CC-97540,['CC-97540']
avb-s6-500,AVB-S6-500,"['AVB S6 500', 'AVBS6500', 'AVB-S6-500']"
colchicine,Colchicine,['Colchicine']
lovastatin,lovastatin,"['Mevacor', 'Mevinolin', 'lovastatin']"
tasquinimod_,Tasquinimod,"['ABR-215050', 'Tasquinimod']"
mvf-her-2-lpar-597-626-rpar--mvf-her-2_-lpar-266-296-r--etcmnb2u,MVF-HER-2(597-626)-MVF-HER-2 (266-296) peptide vaccine,['MVF-HER-2(597-626)-MVF-HER-2 (266-296) peptide vaccine']
ino-5151,INO-5151,['INO-5151']
ispinesib,Ispinesib,"['CK0238273', 'SB-715992', 'Ispinesib']"
ft-2102,Olutasidenib,"['FT-2102', 'Olutasidenib']"
dibenzyl_trisulphide,Dibenzyl Trisulphide,['Dibenzyl Trisulphide']
vilaprisan,Vilaprisan,"['BAY1002670', 'BAY 1002670', 'BAY-1002670', 'Vilaprisan']"
obi-3424,OBI-3424,"['OBI3424', 'TH3424', 'TH-3424', 'OBI 3424', 'TH 3424', 'OBI-3424']"
emd_534085,EMD 534085,"['EMD-534085', 'Eg5-inhibitor EMD 534085', 'C561944', 'EMD534085', 'EMD 534085']"
vecabrutinib,Vecabrutinib,"['SNS-062', 'SNS 062', 'SNS062', 'Vecabrutinib']"
golnerminogene_pradenovec,Golnerminogene pradenovec,"['ADgvEGR.TNF.11D', 'Tumor necrosis factor adenovirus 5 vector', 'AdGV11-TNFalpha', 'D09624', 'ADgv EGR.TNF.11D', 'TNFerade', 'Ad5-TNFa', 'Ad 5-TNF Alpha', 'Golnerminogene pradenovec']"
dpv001,DPV001,"['DPV-001', 'DPV 001', 'DPV001']"
amv-564,AMV-564,"['AMV564', 'AMV 564', 'AMV-564']"
oteracil,Oteracil,['Oteracil']
mk_1308,MK 1308,"['MK1308', 'MK-1308', 'MK 1308']"
copper_gluconate,Copper gluconate,['Copper gluconate']
atir101,ATIR101,"['ATIR', 'allodepleted T cell immunotherapeutic ATIR101', 'Allodepleted T-cell ImmunotheRapeutics', 'Theralux-ATIR', 'ATIR101']"
qbs10072s,QBS10072S,['QBS10072S']
m-vax,M-vax,"['Melanoma vaccine DNP VACC', 'MVax', 'DNP-VACC', 'M-vax']"
v938,V938,['V938']
jcar017,Lisocabtagene Maraleucel,"['JCAR017', 'autologous anti-CD19CAR-4-1BB-CD3zeta-EGFRt-expressing CD4+/CD8+ T lymphocytes JCAR017', 'Lisocabtagene Maraleucel']"
tak-659,TAK-659,"['TAK659', 'TAK-659']"
genentech_cpd_10,Genentech Cpd 10,['Genentech Cpd 10']
dexmedetomidine,Dexmedetomidine,"['Precedex', 'Dexmedetomidine']"
motexafin_gadolinium,Motexafin gadolinium,"['Xcytrin', 'PCI-0120', 'Gd-Tex', 'D05080', 'C437683', 'gadolinium texaphyrin', 'Motexafin gadolinium']"
belinostat,Belinostat,"['Beleodaq', 'Belinostat']"
ab011,AB011,['AB011']
incb086550,INCB086550,"['INCB 086550', 'INCB-86550', 'INCB-086550', 'INCB 86550', 'INCB086550']"
scib1,SCIB1,"['melanoma TRP2 CTL epitope vaccine SCIB1', 'human IgG1/murine IgG2a double-expression vector encoding TRP2 CTL epitope vaccine SCIB1', 'SCIB1']"
stereotactic_radiosurgery,Stereotactic radiosurgery,"['SRS', 'Stereotactic radiosurgery']"
flucloxacillin,Flucloxacillin,['Flucloxacillin']
cx-072,CX-072,"['probody CX-072', 'CX 072', 'CX-072']"
cyc140,CYC140,"['CYC 140', 'CYC-140', 'CYC140']"
alpha_galactosylceramide,Alpha galactosylceramide,"['liposomal RGI-7000', 'RGI2001', 'liposomal alpha-GalCer', 'RGI-2001', 'liposomal KRN-7000', 'RGI 2001', 'Alpha galactosylceramide']"
kpg-818,KPG-818,['KPG-818']
bay2701439,BAY2701439,['BAY2701439']
igm-8444,IGM-8444,['IGM-8444']
ty-9591,TY-9591,"['TY 9591', 'TY9591', 'TY-9591']"
volasertib,Volasertib,['Volasertib']
cbm588,CBM588,"['MIYAIRI 588', 'CBM 588', 'CBM588']"
figitumumab,Figitumumab,"['CP751871', 'C525021', 'CP-751871', 'CP-751,871', 'CP751,871', 'CP 751871', 'CP 751,871', 'D09345', 'Figitumumab']"
tacedinaline,Tacedinaline,"['CI-994', 'N-acetyldinaline', 'Tacedinaline']"
elsilimomab,Elsilimomab,"['B-E8', 'anti-IL-6 mAb 1339', 'anti-IL-6 monoclonal antibody mAb', 'Elsilimomab']"
ty101,TY101,['TY101']
crlx101,CRLX101,"['Cyclodextrin-based polymer-camptothecin CRLX101', 'IT-101', 'CRLX 101', 'C542292', 'CRLX101']"
avapritinib,Avapritinib,"['BLU-285', 'AYVAKIT', 'PDGFR alpha/KIT mutant-specific inhibitor BLU-285', 'Avapritinib']"
onm-100,ONM-100,"['ONM-100a', 'ONM 100', 'ONM100', 'ONM-100']"
alrn-6924,ALRN-6924,"['ALRN 6924', 'ALRN6924', 'ALRN-6924']"
fluoxymesterone,Fluoxymesterone,"['Stenox', 'Halodrin', 'FXM', 'Testoral', 'Ultandren', 'Halotestin', 'Oratestin', 'Android-F', 'Ora-Testryl', 'Androfluorene', 'Fluoxymesterone']"
bc8,BC8,"['MOAB BC8', 'anti-CD45 monoclonal antibody BC8', 'BC8']"
obi-999,OBI-999,['OBI-999']
oncophage,Oncophage,"['Vitespen', 'heat shock protein peptide complex-96', 'Prophage', 'autologous gp96 heat shock protein peptide complex vaccine', 'HSPPC-96', 'gp96-peptide complex', 'Oncophage']"
muc1_138-178_peptide_vaccine,MUC1 138-178 peptide vaccine,"['MUC1 138-178', 'MUC1 138-178 peptide vaccine']"
viagenpumatucel-l,Viagenpumatucel-L,"['AD100-gp96-Ig-HLA A1', 'HS110', 'gp96-Ig-secreting allogeneic tumor-cell vaccine HS110', 'HS-110', 'Viagenpumatucel-L']"
mart-1a_peptide,MART-1a peptide,"['MART1', 'MART-1 antigen', 'melanoma antigen recognized by T Cells 1', 'MART-1', 'MLANA', 'Melan-A protein', 'antigen LB39-AA', 'MART-1 tumor antigen', 'MLANA protein', 'Melan A', 'Melan-A', 'antigen SK29-AA', 'MART-1a peptide']"
cannabidiol,Cannabidiol,"['CBD', 'Epidiolex', 'GWP42003-P', 'Cannabidiol']"
amg_232,AMG 232,"['AMG-232', 'AMG232', 'AMG 232']"
afm13-nk_cells_iv,AFM13-NK cells,['AFM13-NK cells']
dcvac-slash-ovca,DCVAC/OvCa,['DCVAC/OvCa']
bi_853520,BI 853520,"['BI853520', 'BI 853520']"
oblimersen,Oblimersen,"['G3139 bcl-2 antisense oligodeoxynucleotide', 'G3139 bcl-2 antisense oligo', 'bcl-2 antisense oligodeoxynucleotide G3139', 'Genasense', 'G3139 antisense oligonucleotide', 'G3139 bcl-2 antisense oligonucleotide', 'G3139', 'augmerosen', 'BCL-2 antisense/G3139', 'Oblimersen']"
cbt-101,CBT-101,['CBT-101']
akt_inhibitor_viii,AKT inhibitor VIII,['AKT inhibitor VIII']
pembrolizumab,Pembrolizumab,"['lambrolisumab', 'MK-3475', 'lambrolizumab', 'sch 900475', 'Keytruda', 'mk-3745', 'Pembrolizumab']"
azd8186,AZD8186,['AZD8186']
2-methoxyestradiol,2-methoxyestradiol,"['2-ME', 'Panzem', '2ME2', '2-methoxyestradiol']"
thrombopoietin,Thrombopoietin,"['rhTPO', 'Recombinant Human Thrombopoietin', 'Thrombopoietin']"
wt1_-lpar-126-comma-235-rpar-_peptide_vaccine_,"WT1 (126,235) peptide vaccine","['np126 and mp235', 'RMFPNAPYL and CYTWNQMNL peptides', 'WT1 (126,235) peptide vaccine']"
vk-2019,VK-2019,"['VK2019', 'VK 2019', 'VK-2019']"
autologous_nk_cells_transfer,Autologous NK Cells transfer,"['NK therapy', 'Autologous NK Cells transfer']"
pbf-1129,PBF-1129,"['PBF 1129', 'PBF1129', 'PBF-1129']"
ono-7913,ONO-7913,['ONO-7913']
lmb-100,LMB-100,"['RO 6927005', 'RO6927005', 'RG 7787', 'RG7787', 'RG-7787', 'LMB-100']"
fti-277,FTI-277,['FTI-277']
tyrosinase_-lpar-368-376-comma-_370d-rpar-_peptide_vaccine,"Tyrosinase (368-376, 370D) peptide vaccine","['Tyrosinase 368-376(370D) peptide', 'Tyrosinase (368-376, 370D) peptide vaccine']"
tk216,TK216,"['TK-216', 'TK216']"
recombinant_interferon_alfa-2b,Recombinant Interferon Alfa-2b,"['Intron A', 'interferon-alpha2b', 'Recombinant Interferon Alfa-2b']"
mt-3724,MT-3724,"['MT3724', 'MT 3724', 'CD20-targeted immunotoxin MT-3724', 'MT-3724']"
rmc-4630,RMC-4630,"['RMC 4630', 'PTPN11 inhibitor RMC-4630', 'RMC4630', 'SAR442720', 'RMC-4630']"
mkc-1,MKC-1,"['Ro 31-7453', 'R440', 'MKC-1']"
autologous_melanoma_lysate-slash-ny-eso-1-pulsed_autol--etcbvsmd,autologous melanoma lysate/NY-ESO-1-pulsed autologous dendritic cell vaccine,['autologous melanoma lysate/NY-ESO-1-pulsed autologous dendritic cell vaccine']
mitomycin,Mitomycin,"['Mitozytrex', 'JELMYTO', 'Mutamycin', 'mitomycin-X', 'Mitomycin C', 'ugn-101', 'Mitomycin']"
sb-743921,SB-743921,['SB-743921']
shr3680,SHR3680,"['SHR 3680', 'SHR3680']"
kpt-9274,KPT-9274,['KPT-9274']
lncap-slash-_pc-3_vaccine,LNCaP/ PC-3 vaccine,['LNCaP/ PC-3 vaccine']
oraxol,Oraxol,"['paclitaxel/HM30181A', 'paclitaxel-HM30181 methanesulfonate monohydrate', 'Oraxol']"
involved-site_radiation_therapy_-lpar-isrt-rpar-,Involved-site radiation therapy (ISRT),"['Involved-site radiation therapy', 'ISRT', 'Involved-site radiation therapy (ISRT)']"
kanglaite,Kanglaite,"['Kanglaite Injection', 'coix seed extract', 'coicis semen oil', 'Kanglaite']"
bnc105p,BNC105P,"['BNC 105P', 'C568089', 'BNC-105P', 'BNC 105', 'BNC-105', 'Vascular disrupting agent BNC105P', 'BNC105P']"
ceavac,CeaVac,"['monoclonal antibody 3H1 Alu Gel', 'CeaVac']"
tesetaxel,Tesetaxel,"['DJ-927', 'Tesetaxel']"
beclomethasone,Beclomethasone,"['Qvar', 'Qnasl', 'Vancenase', 'Beconase', 'Beclomethasone dipropionate', 'Vanceril', 'Beclovent', 'SCH-18020W', 'Beclomethasone']"
caffeine,Caffeine,"['theine', 'methyltheobromine', 'Caffeine']"
amg_424,AMG 424,"['Xmab13551', 'AMG424', 'AMG 424']"
ciprofloxacin,Ciprofloxacin,"['CPFX', 'Cipro', 'Ciprofloxacin']"
peg-pei-cholesterol_lipopolymer-encased_il-12_dna_plas--etcnibzj,PEG-PEI-cholesterol lipopolymer-encased IL-12 DNA plasmid vector GEN-1,"['IL-12 plasmid formulated with PEG-PEI-cholesterol lipopolymer', 'EGEN-001', 'phIL-12-005', 'nanoparticle-encased IL-12 DNA plasmid vector', 'EGEN', 'GEN-1', 'PEG-PEI-cholesterol lipopolymer-encased IL-12 DNA plasmid vector GEN-1']"
pegaspargase,Pegaspargase,"['PEG-asparaginase', 'Polyehylene glycol-asparaginase', 'Oncaspar', 'Pegaspargase']"
mcla-158,MCLA-158,['MCLA-158']
ipi-549,IPI-549,['IPI-549']
grt-r902,GRT-R902,"['GRT R902', 'GRTR902', 'GRT-R902']"
didox,Didox,['Didox']
plicamycin,Plicamycin,"['Mithracin', 'Mithramycin', 'Aureolic acid', 'Plicamycin']"
fluorouracil,Fluorouracil,"['5-fluorouracil', 'Efudex', '5FU', 'Deflexifol', 'Fluoroplex', 'Adrucil', 'Tolak', 'Carac', 'Efudix', '5-FU', 'Fluorouracil']"
yh001,YH001,['YH001']
etbx-011,ETBX-011,"['AD5 CEA vaccine', 'adenoviral vector Ad5 [E1-, E2b-]-CEA vaccine', 'Ad5 [E1-, E2B-]-CEA', 'adenoviral vector Ad5-CEA(6D) vaccine', 'Ad5 [E1-, E2b-]-CEA(6D)', 'ETBX 011', 'Ad5[E1-,E2b-]-CEA vaccine', 'Adenoviral CEA vaccine', 'CEA-targeted vaccine - Etubics', 'ETBX-011']"
177lu_-pp-f11n,177Lu -PP-F11N,"['Lu177-PP-F11N', '177Lu -PP-F11N']"
cc-95251,CC-95251,"['CC95251', 'CC 95251', 'CC-95251']"
krn330,KRN330,"['Anti-A33 monoclonal antibody KRN330', 'KRN330']"
zw25,Zanidatamab,"['ZW25', 'Zanidatamab']"
gm102,GM102,['GM102']
tak-733,TAK-733,['TAK-733']
pralsetinib,Pralsetinib,"['BLU667', 'BLU-667', 'GAVRETO', 'Pralsetinib']"
maltodextrin,Maltodextrin,"['Maldex', 'Dextri-Maltose', 'Maldrin', 'Glucodry', 'Glucidex', 'Maltodextrin']"
tj004309,TJ004309,"['TJD5', 'TJ-004309', 'TJ 004309', 'TJ-4309', 'TJ4309', 'TJ 4309', 'TJ004309']"
pasireotide,Pasireotide,"['SOM 230', 'SOM230', 'SOM-230-LAR', 'Pasireotide LAR', 'D10147', 'SOM-230', 'C517782', 'SOM230C', 'Signifor', 'Pasireotide']"
cdx1307,CDX1307,"['human monoclonal antibody B11-hCG beta fusion protein CDX-1307', 'CDX-1307', 'CDX1307']"
tumor_lysate-slash-klh_pulsed_dendritic_cell_vaccine,Tumor lysate/KLH pulsed dendritic cell vaccine,"['DCs pulsed with autologous tumor lysate plus keyhole limpet hemocyanin', 'Tumor lysate/KLH pulsed dendritic cell vaccine']"
pd-0360324,PD-0360324,"['PD 0360324', 'PD-0360324']"
pv701_vaccine,PV701 vaccine,['PV701 vaccine']
trofosfamide,Trofosfamide,"['Trophosphamide', 'Genoxal Trofosfamida', 'Trofosfamid', 'Ixoten', 'Trofosfamide']"
f520,F520,"['F 520', 'F-520', 'F520']"
anti-cd30-car_t_cells,Anti-CD30 CAR-T cells,['Anti-CD30 CAR-T cells']
shr-1501,SHR-1501,['SHR-1501']
krm-20_vaccine,KRM-20 vaccine,"['20 mixed peptides', 'KRM-20 vaccine']"
super_circulating_tumor_infiltrating_lymphocytes,Super circulating tumor infiltrating lymphocytes,['Super circulating tumor infiltrating lymphocytes']
eo2401,EO2401,['EO2401']
verteporfin,Verteporfin,"['Visudyne', 'Benzoporphyrin Derivative Monoacid Ring A', 'BPD-MA', 'Verteporfin']"
as605240,AS605240,"['KIN001-173', 'AS605240']"
recombinant_flt3_ligand,CDX-301,"['rhuFlt3L', 'Recombinant flt3 ligand', 'CDX-301']"
pha-793887,PHA-793887,['PHA-793887']
dendritic_cell-tumor_fusion_vaccine,Dendritic cell-tumor fusion vaccine,"['DC-tumor FCs', 'Dendritic cell/tumor cell fusion vaccine', 'DC/tumor fusion cell vaccination', 'Allogeneic dendritic cells/autologous tumor-derived cells vaccination', 'Dendritic cell/tumor fusion vaccine', 'Melaxin', 'Dendritic cell/tumor fusion', 'dendritoma', 'Dendritic Cell Tumor Fusion Vaccine', 'Dendritic-tumor fusion cell-based cancer vaccine', 'autologous dendritoma vaccine', 'DC-tumor fusion cells', 'Dendritic cell-tumor fusion vaccine']"
ad5f35-lmp1-slash-lmp2-transduced_autologous_dendritic_cells,Ad5F35-LMP1/LMP2-transduced autologous dendritic cells,['Ad5F35-LMP1/LMP2-transduced autologous dendritic cells']
axl-slash-cmet_receptor_tyrosine_kinase_inhibitor_bpi-9016m,BPI-9016M,"['BPI-9016', 'AXL receptor tyrosine kinase/c-MET inhibitor BPI-9016M', 'AXL/cMET inhibitor BPI-9016M', 'BPI 9016', 'BPI-9016M']"
cgp-60474,CGP-60474,"['KIN001-019', 'CGP-60474']"
rrx-001,RRx-001,['RRx-001']
wt1_-lpar-rmfpnapyl-rpar-_or_wt1_-lpar-cytwnqmnl-rpar---etc6hj9i,WT1 (RMFPNAPYL) or WT1 (CYTWNQMNL) peptide-loaded DCs,['WT1 (RMFPNAPYL) or WT1 (CYTWNQMNL) peptide-loaded DCs']
gti-2040,GTI-2040,"['C464617', 'GTI 2040', 'LOR 2040', 'GTI2040', 'LOR-2040', 'GTI-2040']"
125i_seed,125I seed,['125I seed']
pgv001,PGV001,"['Personalized Genomic Vaccine 001', 'PGV001']"
ipa-3,IPA-3,['IPA-3']
nafamostat,Nafamostat,"['Nafamostat mesylate', 'Nafamostat']"
gr1405,GR1405,['GR1405']
modified_gp100_peptide-pulsed_dc_,Modified gp100 peptide-pulsed DC,"['gp100:154–167 Q > A, gp100:280–288 A > V', 'Modified gp100 peptide-pulsed DC']"
adg106,ADG106,"['ADG-106', 'ADG 106', 'ADG106']"
mk-4830,MK-4830,"['MK4830', 'anti-LIR2 monoclonal antibody MK-4830', 'MK 4830', 'anti-leukocyte immunoglobulin-like receptor 2 monoclonal antibody MK-4830', 'MK-4830']"
oleclumab,Oleclumab,"['MEDI9447', 'MEDI 9447', 'Oleclumab']"
lmb-2,LMB-2,"['LMB-2 immunotoxin', 'LMB-2']"
denileukin_diftitox,Denileukin Diftitox,"['Ontak', 'Denileukin Diftitox']"
ro7296682,RO7296682,['RO7296682']
car-t-colon-_anti-cd19-comma-_iii_generation_-lpar-cd3--etcmjwbe,"CAR-T: Anti-CD19, III generation (CD3zeta_4-1BB_CD28)","['CAR-T: Anti-CD19, III generation (CD3zeta_4-1BB_CD28)']"
glembatumumab_vedotin,Glembatumumab vedotin,"['CDX-011 (DOX)', 'CDX-011', 'CR011-vcMMAE', 'Glembatumumab vedotin']"
allovectin-7,Allovectin-7,['Allovectin-7']
medi2228,MEDI2228,"['MEDI 2228', 'Anti-BCMA/PBD MEDI2228', 'MEDI-2228', 'anti-BCMA ADC MEDI2228', 'Antibody-drug Conjugate MEDI2228', 'ADC MEDI2228', 'anti-BCMA/PBD ADC MEDI2228', 'MEDI2228']"
bezlotoxumab,Bezlotoxumab,"['MK 6072', 'MK-6072', 'Zinplava', 'MK6072', 'Bezlotoxumab']"
